meeting_id,title,start_time,end_time,duration_minutes,participants_count,email_domains,summary_topics,overall_sentiment,sentiment_score,utt_sent_total,utt_sent_positive,utt_sent_neutral,utt_sent_negative,utt_sent_unknown,utt_sent_positive_ratio,utt_sent_neutral_ratio,utt_sent_negative_ratio,utt_sent_unknown_ratio
01KQ41FB5CCFD9EA583FB020,Aegis / Harborview Banking - Threat Detection Tuning,2026-03-05T15:30:00.000Z,2026-03-05T16:06:18.000Z,36.3,4,aegiscloud.com;harborviewbank.com,alert tuning;false positives;compliance;alert routing;data retention;financial services,mixed-positive,3.9,78,5,67,6,0,0.0641,0.859,0.0769,0.0
01KQ445B1B5B890316C9E300,Weekly Engineering Standup,2026-04-17T17:15:00.000Z,2026-04-17T18:00:12.000Z,45.2,3,aegiscloud.com,post-mortem follow-up;compliance bug;circuit breaker;load testing;incident response;runbook,mixed-positive,3.5,48,0,48,0,0,0.0,1.0,0.0,0.0
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,2026-04-24T12:45:00.000Z,2026-04-24T13:01:30.000Z,16.5,4,aegiscloud.com,win-loss analysis;competitive intelligence;reliability / outage impact;sales process;collateral gaps;q1 review,mixed-negative,2.4,40,1,18,21,0,0.025,0.45,0.525,0.0
01KQ45C0AD36B351A3571940,Aegis / Silverline Brands - Comply v2 Early Access Demo,2026-04-03T15:15:00.000Z,2026-04-03T16:05:18.000Z,50.3,2,aegiscloud.com;silverlinebrands.com,compliance;pci dss;product demo;audit readiness;feature request;product integration,very-positive,4.8,47,36,10,1,0,0.766,0.2128,0.0213,0.0
01KQ45C76AF3AEA6B3EA6697,Aegis / Steelpoint Manufacturing - Contract Review,2026-03-24T17:45:00.000Z,2026-03-24T18:19:36.000Z,34.6,3,aegiscloud.com;steelpointmfg.com,renewal;outage;sla;compliance;cmmc;competitive threat,mixed-negative,2.8,40,3,33,4,0,0.075,0.825,0.1,0.0
01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,2026-04-22T15:30:00.000Z,2026-04-22T15:51:00.000Z,21.0,2,aegiscloud.com;brightpathcommerce.com,churn risk;outage post-mortem;competitor evaluation;alert fatigue;contract renewal;compliance,mixed-negative,2.6,37,10,16,11,0,0.2703,0.4324,0.2973,0.0
01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,2026-03-11T11:00:00.000Z,2026-03-11T11:17:06.000Z,17.1,3,aegiscloud.com,service outage;incident response;customer communication;architecture gap;churn risk;sla compliance,negative,1.8,41,0,16,25,0,0.0,0.3902,0.6098,0.0
01KQ4D01DCB15C69672AB5AF,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,2026-04-07T14:15:00.000Z,2026-04-07T14:57:48.000Z,42.8,5,aegiscloud.com;clearwatermed.com,onboarding;compliance;hipaa;soc 2;deployment;multi-framework support,very-positive,4.8,44,35,9,0,0,0.7955,0.2045,0.0,0.0
01KQ4D504CE09A8F6ECA1F5A,Product Sync - Identity Roadmap,2026-02-09T17:30:00.000Z,2026-02-09T18:09:24.000Z,39.4,3,aegiscloud.com,identity roadmap;mfa policy engine;sso connectors;qa process;sprint planning;infrastructure bottleneck,mixed-positive,3.8,43,5,36,2,0,0.1163,0.8372,0.0465,0.0
01KQ4D71CDFB1045A2458216,Aegis / Bridgeport Health - Renewal Finalization,2026-04-23T13:30:00.000Z,2026-04-23T14:09:30.000Z,39.5,4,aegiscloud.com;bridgeporthealth.com,renewal;compliance;incident review;product update;expansion;healthcare security,mixed-positive,4.1,50,36,11,3,0,0.72,0.22,0.06,0.0
01KQ4EE836687F95080D92AB,Detect Team - Sprint Planning,2026-02-05T14:15:00.000Z,2026-02-05T14:40:36.000Z,25.6,4,aegiscloud.com,sprint planning;pipeline architecture;single point of failure;ci/cd improvement;capacity planning;sprint retrospective,mixed-positive,3.6,41,2,37,2,0,0.0488,0.9024,0.0488,0.0
01KQ51DC4345D9DAE005678C,Aegis / Redwood Clinical - Product Feedback Session,2026-02-22T13:15:00.000Z,2026-02-22T13:55:18.000Z,40.3,3,aegiscloud.com;redwoodclinical.com,hipaa reporting;compliance tooling;feature gaps;product feedback;audit workflow;roadmap,mixed-positive,3.2,41,7,31,3,0,0.1707,0.7561,0.0732,0.0
01KQ54917E3931712516916D,Aegis / Nimbus Platform - Comply v2 Preview,2026-04-01T16:15:00.000Z,2026-04-01T17:09:18.000Z,54.3,2,aegiscloud.com;nimbusplatform.com,compliance reporting;product demo;onboarding;pci dss;multi-framework support;upgrade rollout,very-positive,4.8,49,37,11,1,0,0.7551,0.2245,0.0204,0.0
01KQ560FF1570C5E7F71D752,Aegis / Coastal Living Co - Protect Module Expansion,2026-04-19T15:15:00.000Z,2026-04-19T16:00:42.000Z,45.7,2,aegiscloud.com;coastalliving.com,onboarding;backup and recovery;hybrid environment;data protection;compliance;retail seasonality,very-positive,4.8,46,28,17,1,0,0.6087,0.3696,0.0217,0.0
01KQ56786DD1E8A1BF174FDD,Support Case #1993 - Forge Industries Comply v2 Early Access Question,2026-04-03T15:30:00.000Z,2026-04-03T15:55:36.000Z,25.6,4,aegiscloud.com;forgeindustries.com,compliance reporting;product release;multi-framework support;feature request;upgrade migration;hipaa,very-positive,4.8,43,34,9,0,0,0.7907,0.2093,0.0,0.0
01KQ56AA6B60801ABC01AB1C,Support Case #8179 - Clearwater Medical Overage Charges Dispute,2026-04-10T17:30:00.000Z,2026-04-10T17:51:30.000Z,21.5,4,aegiscloud.com;clearwatermed.com,billing dispute;overage charges;product migration;outage impact;compliance reporting;alert misconfiguration,mixed-negative,2.4,40,0,22,18,0,0.0,0.55,0.45,0.0
01KQ56D878454E5783DC6D94,Support Case #3536 - Stratos Cloud LogVault Integration Timeout,2026-04-22T12:30:00.000Z,2026-04-22T12:42:48.000Z,12.8,3,aegiscloud.com;stratoscloud.io,technical issue;logvault integration;data backfill;circuit breaker;churn risk;incident follow-up,mixed-negative,2.4,41,2,28,11,0,0.0488,0.6829,0.2683,0.0
01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,2026-03-26T16:00:00.000Z,2026-03-26T16:53:00.000Z,53.0,2,aegiscloud.com;summittrust.com,mfa enforcement;identity & access management;churn risk;support escalation;outage follow-up;renewal,mixed-negative,2.4,47,5,23,19,0,0.1064,0.4894,0.4043,0.0
01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,2026-04-24T16:45:00.000Z,2026-04-24T17:20:42.000Z,35.7,3,aegiscloud.com;crestlinewealth.com,identity deployment;privileged access management;mfa migration;compliance audit;entra id integration;compliance reporting,very-positive,4.8,43,31,12,0,0,0.7209,0.2791,0.0,0.0
01KQ5BB8521F99E55470206E,Detect Team - Sprint Planning,2026-03-02T09:15:00.000Z,2026-03-02T09:40:06.000Z,25.1,5,aegiscloud.com,sprint planning;bug fix;architecture;ingestion pipeline;alert deduplication;qa,positive,4.1,41,0,41,0,0,0.0,1.0,0.0,0.0
01KQ5D47170D4828E89EDE37,Support Case #7537 - Forge Industries Detect Recovery Confirmation,2026-03-18T14:45:00.000Z,2026-03-18T15:12:48.000Z,27.8,2,aegiscloud.com;forgeindustries.com,outage recovery;incident root cause;threat monitoring;data integrity;post-incident report;architectural remediation,mixed-positive,3.4,42,4,36,2,0,0.0952,0.8571,0.0476,0.0
01KQ5EC1665DCFD7A6B62A59,Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,2026-03-29T15:15:00.000Z,2026-03-29T15:25:06.000Z,10.1,3,aegiscloud.com;coastalliving.com,saml certificate rotation;product bug;authentication failure;service outage;customer reliability concerns;identity federation,mixed-negative,2.2,37,3,18,16,0,0.0811,0.4865,0.4324,0.0
01KQ5F364545B542671FF9CE,Support Case #3546 - Meridian Capital SCIM Provisioning Request,2026-03-07T13:30:00.000Z,2026-03-07T13:51:18.000Z,21.3,4,aegiscloud.com;meridiancapital.com,scim provisioning;identity management;compliance;okta integration;deprovisioning;feature request,mixed-positive,3.7,41,2,39,0,0,0.0488,0.9512,0.0,0.0
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,2026-04-25T14:45:00.000Z,2026-04-25T15:24:24.000Z,39.4,3,aegiscloud.com;frostbyte.ai,role management;feature gap;soc 2 compliance;session timeout policy;product roadmap;identity access management,mixed-positive,3.7,41,10,29,2,0,0.2439,0.7073,0.0488,0.0
01KQ68FB3E9E60C4477CDAB4,Comply v2 - GA Deployment Plan,2026-04-01T17:45:00.000Z,2026-04-01T18:14:30.000Z,29.5,4,aegiscloud.com,product launch;compliance reporting;infrastructure deployment;qa and testing;observability and alerting;rollback planning,very-positive,4.7,39,27,12,0,0,0.6923,0.3077,0.0,0.0
01KQ6A5CEAAFFBE3B0099E75,Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,2026-03-22T09:15:00.000Z,2026-03-22T09:35:54.000Z,20.9,2,aegiscloud.com;steelpointmfg.com,ldap sync failure;ssl certificate;support response time;active directory;product feedback;churn risk,mixed-negative,2.4,44,2,30,12,0,0.0455,0.6818,0.2727,0.0
01KQ6CAA850EAFDC48B52846,Aegis / Ironworks Corp - Vendor Comparison Discussion,2026-04-14T13:45:00.000Z,2026-04-14T14:18:54.000Z,33.9,3,aegiscloud.com;ironworkscorp.com,outage;compliance reporting;competitive threat;ot security;trust recovery;sla negotiation,mixed-negative,2.6,41,4,24,13,0,0.0976,0.5854,0.3171,0.0
01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,2026-04-07T13:45:00.000Z,2026-04-07T14:30:48.000Z,45.8,3,aegiscloud.com,post-incident review;service outage;compliance risk;customer retention;internal communications;product early access,mixed-negative,2.8,53,8,38,7,0,0.1509,0.717,0.1321,0.0
01KQ773D68723289E4A98889,Support Case #7572 - Brightpath Commerce Invoice Discrepancy,2026-02-27T13:00:00.000Z,2026-02-27T13:12:36.000Z,12.6,3,aegiscloud.com;brightpathcommerce.com,billing dispute;invoice overage;data retention;backup policy;account management;usage monitoring,mixed-positive,3.7,43,1,42,0,0,0.0233,0.9767,0.0,0.0
01KQ77F2867FC54E13A8C495,Aegis / Brightpath Commerce - Detect Module Deployment,2026-02-11T09:15:00.000Z,2026-02-11T10:00:48.000Z,45.8,2,aegiscloud.com;brightpathcommerce.com,onboarding;deployment planning;alert fatigue;reliability incident;cloud infrastructure;integrations,mixed-positive,3.9,44,8,36,0,0,0.1818,0.8182,0.0,0.0
01KQ7B802912366FC0A24D4F,All Hands - April Update,2026-04-26T11:45:00.000Z,2026-04-26T12:33:48.000Z,48.8,5,aegiscloud.com,outage post-mortem;product launch;compliance reporting;reliability engineering;roadmap planning;product bug,mixed-positive,3.6,51,3,43,5,0,0.0588,0.8431,0.098,0.0
01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,2026-03-11T17:45:00.000Z,2026-03-11T17:55:00.000Z,10.0,3,aegiscloud.com;trailheadmkt.com,platform outage;detect pipeline failure;pci compliance;churn risk;incident communication;fraud monitoring,very-negative,1.4,36,0,13,23,0,0.0,0.3611,0.6389,0.0
01KQ7F58A2E07B857C24624D,Competitive Landscape Review,2026-02-19T09:15:00.000Z,2026-02-19T09:35:12.000Z,20.2,2,aegiscloud.com,competitive analysis;product gaps;siem integration;compliance features;pricing pressure;roadmap prioritization,mixed-positive,3.4,36,2,33,1,0,0.0556,0.9167,0.0278,0.0
01KQ7FA71CF70FAFEE4B6251,Aegis / Nova Retail Group - Renewal Discussion,2026-03-21T11:15:00.000Z,2026-03-21T11:48:24.000Z,33.4,2,aegiscloud.com;novaretail.com,renewal;service outage;compliance reporting;churn risk;competitive evaluation;product feedback,mixed-negative,2.6,40,5,22,13,0,0.125,0.55,0.325,0.0
01KQ85D10E82A26A8F754FB8,Aegis / Bridgeport Health - Compliance Review,2026-02-13T11:00:00.000Z,2026-02-13T11:33:24.000Z,33.4,3,aegiscloud.com;bridgeporthealth.com,hipaa audit prep;multi-framework compliance;evidence management;product roadmap;healthcare;reporting,mixed-positive,4.1,41,25,13,3,0,0.6098,0.3171,0.0732,0.0
01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,2026-03-15T14:30:00.000Z,2026-03-15T14:43:18.000Z,13.3,3,aegiscloud.com;northstarpharma.com,platform outage;hipaa compliance;soc 2 audit;churn risk;incident communication failure;infrastructure architecture,mixed-negative,2.1,41,0,14,27,0,0.0,0.3415,0.6585,0.0
01KQ8C5A044F54EE1774D53C,Aegis / Helix Data - Post-Incident Review,2026-03-17T11:45:00.000Z,2026-03-17T12:20:48.000Z,35.8,3,aegiscloud.com;helixdata.io,outage post-mortem;churn risk;false positives;pipeline reliability;competitor evaluation;detection tuning,mixed-negative,2.3,40,4,20,16,0,0.1,0.5,0.4,0.0
01KQ8D9A06510DD623EFB1A6,Aegis / Pinnacle Insurance - Detect Roadmap Review,2026-04-16T13:00:00.000Z,2026-04-16T13:47:54.000Z,47.9,2,aegiscloud.com;pinnacleins.com,feature requests;alert fatigue;incident review;compliance reporting;product roadmap;siem integration,mixed-positive,3.6,74,10,57,7,0,0.1351,0.7703,0.0946,0.0
01KQ92EA85FE4C537400227D,Support Case #8811 - Blackridge Investments Custom Compliance Template,2026-04-25T17:15:00.000Z,2026-04-25T17:24:18.000Z,9.3,2,aegiscloud.com;blackridgeinvest.com,feature request;custom compliance templates;early access program;api integration;workaround;financial services,very-positive,4.8,36,26,10,0,0,0.7222,0.2778,0.0,0.0
01KQ94C2B8B9B4668F3D3491,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,2026-03-13T10:30:00.000Z,2026-03-13T10:47:36.000Z,17.6,3,aegiscloud.com;ridgelinelogistics.com,platform outage;event ingestion pipeline;ot/scada monitoring;data backfill;sla credits;compliance,mixed-negative,2.1,42,0,24,18,0,0.0,0.5714,0.4286,0.0
01KQ9772B2348F500FB09D1E,Support Case #3677 - Coastal Living Co MFA Token Failures,2026-02-24T16:45:00.000Z,2026-02-24T16:58:54.000Z,13.9,2,aegiscloud.com;coastalliving.com,mfa failure;totp;okta sso integration;p1 escalation;user lockout;reliability concern,mixed-negative,2.2,42,1,27,14,0,0.0238,0.6429,0.3333,0.0
01KQ9A6BE09D73A9BB5798C7,Support Case #3615 - Nimbus Platform Custom Report Request,2026-02-10T15:30:00.000Z,2026-02-10T15:44:06.000Z,14.1,2,aegiscloud.com;nimbusplatform.com,feature gap;custom reporting;compliance frameworks;product roadmap;audit workflow;early access program,mixed-positive,3.5,36,2,34,0,0,0.0556,0.9444,0.0,0.0
01KQ9BB82FD97C9607D57E90,Aegis / Coastal Living Co - Onboarding Kickoff,2026-02-04T11:00:00.000Z,2026-02-04T11:30:48.000Z,30.8,2,aegiscloud.com;coastalliving.com,onboarding;backup and recovery;hybrid infrastructure;pci dss compliance;data retention;aws integration,very-positive,4.9,40,22,18,0,0,0.55,0.45,0.0,0.0
01KQ9BCA1794C9472726FFAD,Comply v2 - Adoption Metrics Review,2026-04-22T14:45:00.000Z,2026-04-22T15:15:54.000Z,30.9,5,aegiscloud.com,product launch;compliance reporting;adoption metrics;cross-sell;gdpr roadmap;customer feedback,very-positive,4.7,41,30,10,1,0,0.7317,0.2439,0.0244,0.0
01KQA0F0BE68E74D66EB4171,Competitive Response Strategy,2026-04-10T11:30:00.000Z,2026-04-10T12:04:18.000Z,34.3,5,aegiscloud.com,competitive positioning;platform reliability;product launch;compliance;sales strategy;incident remediation,mixed-positive,3.6,44,8,30,6,0,0.1818,0.6818,0.1364,0.0
01KQA1AFDC1306A000B0C7D9,Aegis / Vanta Health Systems - Backup Strategy Workshop,2026-02-28T17:30:00.000Z,2026-02-28T18:13:18.000Z,43.3,3,aegiscloud.com;vantahealth.com,hybrid backup strategy;hipaa compliance;disaster recovery testing;data retention policies;onboarding;healthcare data management,very-positive,4.7,55,37,14,4,0,0.6727,0.2545,0.0727,0.0
01KQA502E222E2A60330237B,Aegis / Pineridge Systems - Q1 Business Review,2026-03-03T15:15:00.000Z,2026-03-03T15:56:30.000Z,41.5,4,aegiscloud.com;pineridge.io,quarterly business review;renewal;compliance;disaster recovery;product update;pricing,very-positive,4.7,44,38,6,0,0,0.8636,0.1364,0.0,0.0
01KQA7DFCE1285F52192B34B,Support Case #9856 - Silverline Brands Backup Window Exceeded,2026-04-12T09:00:00.000Z,2026-04-12T09:28:24.000Z,28.4,2,aegiscloud.com;silverlinebrands.com,backup performance;throughput degradation;platform incident;sql server;agent update;support response time,mixed-negative,2.4,41,0,23,18,0,0.0,0.561,0.439,0.0
01KQAC572C34475A8791F2C3,Protect Team - Quarterly Planning,2026-02-23T12:45:00.000Z,2026-02-23T13:15:48.000Z,30.8,4,aegiscloud.com,quarterly planning;incremental backup performance;restore ux improvement;multi-region replication;canary deployment;tech debt,positive,4.4,37,24,11,2,0,0.6486,0.2973,0.0541,0.0
01KQADC32D89E2B76B698E84,Support Case #6635 - Nova Retail Group SSO Login Failures,2026-02-14T13:00:00.000Z,2026-02-14T13:24:06.000Z,24.1,4,aegiscloud.com;novaretail.com,sso outage;identity module regression;saml configuration;incident communication;workaround;patch deployment,mixed-negative,2.3,41,0,24,17,0,0.0,0.5854,0.4146,0.0
01KQADF3D76E82BF8BA19AF2,All Hands - February Wrap,2026-02-28T11:00:00.000Z,2026-02-28T11:20:30.000Z,20.5,4,aegiscloud.com,product launch;qa coverage;customer churn;upsell opportunity;technical issue;roadmap planning,mixed-positive,3.5,40,3,36,1,0,0.075,0.9,0.025,0.0
01KQAEA50436D047BC39CFC7,Aegis / Crestline Wealth - Account Review,2026-02-17T14:30:00.000Z,2026-02-17T15:18:42.000Z,48.7,2,aegiscloud.com;crestlinewealth.com,renewal;pricing;compliance roadmap;data backup;threat detection;support issue,mixed-positive,3.8,51,2,48,1,0,0.0392,0.9412,0.0196,0.0
01KQAFB8DBF6E1E2FDEF0B75,Aegis / Maplewood Goods - SOC 2 Prep Review,2026-02-27T14:45:00.000Z,2026-02-27T15:07:24.000Z,22.4,3,aegiscloud.com;maplewoodgoods.com,soc 2 compliance;audit preparation;evidence collection;multi-framework compliance;onboarding;pci dss,very-positive,4.8,37,30,6,1,0,0.8108,0.1622,0.027,0.0
