meeting_id,title,call_type,final_topic,summary_marker_hits,keymoment_hits,transcript_marker_hits,top_friction_speakers,utt_negative_ratio,summary_sentiment_score,friction_score
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,ambiguous,Incident Response & Outage Management,2,2,8,Kevin O'Brien:6;Raj Kapoor:1;Brian Cho:1,0.525,2.4,65.83
01KQ8C5A044F54EE1774D53C,Aegis / Helix Data - Post-Incident Review,external,Incident Response & Outage Management,4,3,6,Charles Ng:4;Maria Santos:2,0.4,2.3,65.74
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,support,Support Troubleshooting & Case Resolution,2,3,9,Kendra Wallace:6;David Kim:3,0.3714,2.8,64.64
01KQD1270E98A7DFC55ADCF8,Protect Performance - Scalability Concerns,ambiguous,Platform Reliability & Performance,3,3,4,Sofia Petrov:1;Nina Kowalski:1;Chris Lee:1,0.5745,2.2,62.83
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,ambiguous,Incident Response & Outage Management,2,4,2,Brian Cho:1;Tom Bradley:1,0.7179,1.8,62.29
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,external,Incident Response & Outage Management,4,3,4,Maria Santos:2;Grace Yoon:2,0.3958,2.1,61.65
01KQ56D878454E5783DC6D94,Support Case #3536 - Stratos Cloud LogVault Integration Timeout,support,Support Troubleshooting & Case Resolution,3,4,4,Damien Rowe:4,0.2683,2.4,58.15
01KQ56AA6B60801ABC01AB1C,Support Case #8179 - Clearwater Medical Overage Charges Dispute,support,Support Troubleshooting & Case Resolution,1,3,5,Sarah Chen:3;Natalie Simmons:2,0.45,2.4,56.62
01KQA7DFCE1285F52192B34B,Support Case #9856 - Silverline Brands Backup Window Exceeded,support,Support Troubleshooting & Case Resolution,1,3,4,David Kim:2;Dominic Flores:2,0.439,2.4,53.65
01KQEDE682B4A8D67C657CF1,Support Case #3103 - Silverline Brands Detect False Positives After Patch,support,Support Troubleshooting & Case Resolution,2,3,4,Dominic Flores:2;Sarah Chen:1;Michelle Tan:1,0.3171,2.4,53.45
01KQE110900B8A65D80AE694,Detect Outage - Root Cause Analysis,internal,Incident Response & Outage Management,1,2,4,Sofia Petrov:2;Nina Kowalski:1;Ananya Sharma:1,0.5789,2.4,53.33
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,external,Incident Response & Outage Management,2,3,4,Suki Nakamura:2;Ravi Gupta:1;Rachel Torres:1,0.3333,2.4,51.67
01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,internal,"Identity, Access & Provisioning",4,2,5,Diana Reeves:2;Tyler Washington:2;Chris Lee:1,0.1321,2.8,51.48
01KQ7FA71CF70FAFEE4B6251,Aegis / Nova Retail Group - Renewal Discussion,external,Compliance & Audit Readiness,2,2,5,Stephanie Blair:4;Aisha Johnson:1,0.325,2.6,51.0
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,ambiguous,Incident Response & Outage Management,0,3,5,Brian Cho:2;Megan Lawson:2;Raj Kapoor:1,0.1163,2.4,48.01
01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,external,Incident Response & Outage Management,3,2,4,Aisha Johnson:3;Kendra Wallace:1,0.2973,2.6,47.97
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,internal,Compliance & Audit Readiness,0,2,8,Raj Kapoor:3;Ravi Gupta:2;Mike Romano:2,0.0702,3.4,46.51
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,external,Incident Response & Outage Management,3,2,2,Leo Marquez:1;Maria Santos:1,0.3409,2.4,46.38
01KQ6CAA850EAFDC48B52846,Aegis / Ironworks Corp - Vendor Comparison Discussion,external,Compliance & Audit Readiness,1,2,4,Maria Santos:3;Catherine Page:1,0.3171,2.6,45.79
01KQ77F2867FC54E13A8C495,Aegis / Brightpath Commerce - Detect Module Deployment,external,Product Roadmap & Engineering Execution,1,3,7,Kendra Wallace:4;James Mitchell:3,0.0,3.9,44.87
01KQ3F90FF9EBC3DB3632514,Identity Team - Sprint Retro,internal,"Identity, Access & Provisioning",2,3,4,Mike Romano:1;Sofia Petrov:1;Nina Kowalski:1,0.1951,3.4,42.93
01KQCA6EA8B603EBB6C9FE34,Aegis / Ridgeline Logistics - Identity Roadmap Discussion,external,"Identity, Access & Provisioning",2,3,4,Paula Schneider:3;Daniel Okafor:1,0.0909,3.4,42.9
01KQ7F58A2E07B857C24624D,Competitive Landscape Review,internal,"Renewal, Pricing & Commercial Negotiation",2,1,6,Tom Bradley:3;Jordan Whitfield:3,0.0278,3.4,42.01
01KQ41FB5CCFD9EA583FB020,Aegis / Harborview Banking - Threat Detection Tuning,external,Security Monitoring & Threat Detection,1,3,4,Kevin O'Brien:2;Lisa Park:1;Patricia Dunn:1,0.0769,3.9,39.95
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,internal,Incident Response & Outage Management,2,3,1,Tom Bradley:1,0.0976,2.8,38.34
01KQC1267BEB344076DD7656,Aegis / Ironclad Financial - Account Recovery Check-in,external,Incident Response & Outage Management,0,3,3,Robert Langston:1;Tanya Desai:1;Maria Santos:1,0.119,2.8,35.83
01KQ4D504CE09A8F6ECA1F5A,Product Sync - Identity Roadmap,internal,"Identity, Access & Provisioning",1,2,4,Ananya Sharma:3;Hannah Liu:1,0.0465,3.8,35.72
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,support,Support Troubleshooting & Case Resolution,0,2,4,Sarah Chen:3;Jason Hoffman:1,0.0789,3.4,34.17
01KQ9A6BE09D73A9BB5798C7,Support Case #3615 - Nimbus Platform Custom Report Request,support,Support Troubleshooting & Case Resolution,1,1,4,David Kim:3;Keith Donovan:1,0.0,3.5,33.19
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,support,Support Troubleshooting & Case Resolution,1,2,3,Marcus Williams:3,0.0,3.4,32.85
01KQ45C76AF3AEA6B3EA6697,Aegis / Steelpoint Manufacturing - Contract Review,external,Incident Response & Outage Management,1,2,1,Harold Jensen:1,0.1,2.8,32.8
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,internal,Product Roadmap & Engineering Execution,2,1,2,Tom Bradley:1;Mike Romano:1,0.0,3.6,31.39
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,external,"Renewal, Pricing & Commercial Negotiation",1,1,3,Wayne Keller:1;Rachel Torres:1;Maria Santos:1,0.0,3.7,30.58
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,external,Incident Response & Outage Management,1,2,2,Lauren Bishop:1;Lisa Park:1,0.0952,3.4,30.14
01KQB632F1ADC378C42F2C03,Support Case #7570 - Silverline Brands Comply v2 License Upgrade,support,Support Troubleshooting & Case Resolution,1,2,2,Michelle Tan:1;David Kim:1,0.0,3.9,30.08
01KQ445B1B5B890316C9E300,Weekly Engineering Standup,internal,Support Troubleshooting & Case Resolution,0,2,2,Sofia Petrov:1;Raj Kapoor:1,0.0,3.5,28.61
01KQ4EE836687F95080D92AB,Detect Team - Sprint Planning,internal,Product Roadmap & Engineering Execution,0,1,3,Ananya Sharma:3,0.0488,3.6,28.61
01KQAEA50436D047BC39CFC7,Aegis / Crestline Wealth - Account Review,external,"Renewal, Pricing & Commercial Negotiation",0,2,2,Maria Santos:1;Derek Owens:1,0.0196,3.8,28.27
01KQ51DC4345D9DAE005678C,Aegis / Redwood Clinical - Product Feedback Session,external,Compliance & Audit Readiness,0,2,2,Thomas Hargrove:1;Daniel Okafor:1,0.0732,3.2,28.15
01KQ8D9A06510DD623EFB1A6,Aegis / Pinnacle Insurance - Detect Roadmap Review,external,Compliance & Audit Readiness,0,2,2,Sandra Keating:2,0.0946,3.6,27.9
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,internal,Compliance & Audit Readiness,2,1,1,Megan Lawson:1,0.0652,3.6,27.85
01KQA0F0BE68E74D66EB4171,Competitive Response Strategy,ambiguous,Platform Reliability & Performance,1,2,1,Rachel Torres:1,0.1364,3.6,27.82
01KQ5D47170D4828E89EDE37,Support Case #7537 - Forge Industries Detect Recovery Confirmation,support,Support Troubleshooting & Case Resolution,0,2,2,Dana Moretti:1;Elena Vasquez:1,0.0476,3.4,27.78
01KQ560FF1570C5E7F71D752,Aegis / Coastal Living Co - Protect Module Expansion,external,Support Troubleshooting & Case Resolution,0,1,6,Vanessa Cruz:5;Kevin O'Brien:1,0.0217,4.8,26.67
01KQ7B802912366FC0A24D4F,All Hands - April Update,internal,Support Troubleshooting & Case Resolution,0,1,2,Hannah Liu:1;Alex Reyes:1,0.098,3.6,26.52
01KQ5BB8521F99E55470206E,Detect Team - Sprint Planning,internal,Support Troubleshooting & Case Resolution,1,2,0,,0.0,4.1,25.83
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,support,Support Troubleshooting & Case Resolution,0,2,1,Sarah Chen:1,0.0,3.8,25.39
01KQ5F364545B542671FF9CE,Support Case #3546 - Meridian Capital SCIM Provisioning Request,support,Support Troubleshooting & Case Resolution,0,2,1,Jason Hoffman:1,0.0,3.7,24.98
01KQADF3D76E82BF8BA19AF2,All Hands - February Wrap,internal,"Renewal, Pricing & Commercial Negotiation",0,2,1,Diana Reeves:1,0.025,3.5,24.96
01KQCF9872BF130D33B1B5EC,Comply v2 - Launch Day Checklist,internal,Support Troubleshooting & Case Resolution,0,1,5,Jordan Whitfield:4;Nina Kowalski:1,0.0,4.8,22.77
01KQ773D68723289E4A98889,Support Case #7572 - Brightpath Commerce Invoice Discrepancy,support,Support Troubleshooting & Case Resolution,0,2,0,,0.0,3.7,22.65
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,external,Compliance & Audit Readiness,0,0,3,Victor Zheng:2;Sofia Petrov:1,0.0488,3.7,22.42
01KQ68FB3E9E60C4477CDAB4,Comply v2 - GA Deployment Plan,internal,Compliance & Audit Readiness,1,2,3,Ananya Sharma:2;Nina Kowalski:1,0.0,4.7,22.05
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,internal,"Identity, Access & Provisioning",1,2,2,Sofia Petrov:1;Alex Reyes:1,0.0,4.4,21.5
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,support,Support Troubleshooting & Case Resolution,0,1,1,Sarah Chen:1,0.0,3.9,21.21
01KQB3B16F255B65F39597D0,Comply v2 - Design Review,internal,Compliance & Audit Readiness,0,1,4,Mike Romano:2;Hannah Liu:1;Ananya Sharma:1,0.0,4.4,20.89
01KQB95605C6F873C6036285,Aegis / Forge Industries - PCI DSS Compliance Review,external,Compliance & Audit Readiness,1,2,2,Maria Santos:1;Gerald Hutchins:1,0.0238,4.1,19.31
01KQA1AFDC1306A000B0C7D9,Aegis / Vanta Health Systems - Backup Strategy Workshop,external,Compliance & Audit Readiness,0,2,2,Aisha Johnson:1;Raymond Burke:1,0.0727,4.7,18.11
01KQ85D10E82A26A8F754FB8,Aegis / Bridgeport Health - Compliance Review,external,Compliance & Audit Readiness,1,1,1,Maria Santos:1,0.0732,4.1,16.44
01KQ54917E3931712516916D,Aegis / Nimbus Platform - Comply v2 Preview,external,Compliance & Audit Readiness,0,2,2,Keith Donovan:1;Kevin O'Brien:1,0.0204,4.8,15.75
01KQAFB8DBF6E1E2FDEF0B75,Aegis / Maplewood Goods - SOC 2 Prep Review,external,Compliance & Audit Readiness,0,2,2,Nathan Perry:1;Aisha Johnson:1,0.027,4.8,14.89
01KQFEEFFF8E80B0DFD10880,SOC 2 Type II - Final Review,ambiguous,Compliance & Audit Readiness,0,2,1,Ravi Gupta:1,0.0,4.7,14.3
01KQ4D71CDFB1045A2458216,Aegis / Bridgeport Health - Renewal Finalization,external,Incident Response & Outage Management,1,1,1,Evelyn Park:1,0.06,4.1,14.28
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,external,Compliance & Audit Readiness,0,1,2,Lisa Park:1;Julia Tran:1,0.0652,4.7,14.04
01KQ9BB82FD97C9607D57E90,Aegis / Coastal Living Co - Onboarding Kickoff,external,Compliance & Audit Readiness,0,1,1,Vanessa Cruz:1,0.0,4.9,13.43
01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,external,Compliance & Audit Readiness,0,2,1,Sofia Petrov:1,0.0,4.8,13.22
01KQC3A2EBC501837E973B16,Aegis / Frostbyte AI - Identity Module Setup,external,"Identity, Access & Provisioning",0,1,1,Victor Zheng:1,0.0476,4.8,13.06
01KQAC572C34475A8791F2C3,Protect Team - Quarterly Planning,ambiguous,Support Troubleshooting & Case Resolution,0,2,0,,0.0541,4.4,12.65
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,external,Compliance & Audit Readiness,1,1,0,,0.0408,4.5,10.91
01KQD4D9DEBA2D55AC2AA9F5,Aegis / Keystone Health - Renewal Planning,external,"Renewal, Pricing & Commercial Negotiation",0,1,1,Rachel Torres:1,0.0,4.4,10.44
01KQ410FB7E434BA3F99EE7D,Aegis / Axiom Labs - Multi-Year Renewal,external,Compliance & Audit Readiness,0,1,1,Aisha Johnson:1,0.0,4.2,9.65
01KQFFC0F889AE8CFEE7A00D,Aegis / Blackridge Investments - Renewal Discussion,external,Compliance & Audit Readiness,0,1,1,Julia Tran:1,0.0,4.7,8.92
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,external,Compliance & Audit Readiness,0,1,0,,0.0256,4.8,8.16
01KQ9BCA1794C9472726FFAD,Comply v2 - Adoption Metrics Review,internal,Compliance & Audit Readiness,0,1,0,,0.0244,4.7,7.9
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,external,Compliance & Audit Readiness,0,1,0,,0.0256,4.7,7.71
01KQ45C0AD36B351A3571940,Aegis / Silverline Brands - Comply v2 Early Access Demo,external,Compliance & Audit Readiness,0,1,0,,0.0213,4.8,7.25
01KQ56786DD1E8A1BF174FDD,Support Case #1993 - Forge Industries Comply v2 Early Access Question,support,Support Troubleshooting & Case Resolution,0,1,0,,0.0,4.8,6.44
01KQF9600A904ADE8605B3F0,Detect Team - Reliability Sprint Retro,internal,Incident Response & Outage Management,0,0,0,,0.0256,4.8,5.83
01KQD199788883B6F18C81E8,Aegis / Atlas Precision - Annual Review & Renewal,external,"Identity, Access & Provisioning",0,0,0,,0.0488,4.3,5.55
01KQ92EA85FE4C537400227D,Support Case #8811 - Blackridge Investments Custom Compliance Template,support,Support Troubleshooting & Case Resolution,0,0,0,,0.0,4.8,4.86
01KQ4D01DCB15C69672AB5AF,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,external,Compliance & Audit Readiness,0,0,0,,0.0,4.8,3.58
01KQA502E222E2A60330237B,Aegis / Pineridge Systems - Q1 Business Review,external,"Renewal, Pricing & Commercial Negotiation",0,0,0,,0.0,4.7,2.39
