meeting_id,title,call_type,final_topic,sentiment_pressure,renewal_signal,urgency_signal,incident_signal,keymoment_signal,summary_penalty,churn_risk_score,risk_band
01KQ4D504CE09A8F6ECA1F5A,Product Sync - Identity Roadmap,internal,"Identity, Access & Provisioning",0.4651,0.0,0.0,0.0,0.5,0.0,18.95,low
01KQB632F1ADC378C42F2C03,Support Case #7570 - Silverline Brands Comply v2 License Upgrade,support,Support Troubleshooting & Case Resolution,0.4625,0.0,0.0,0.0,0.5,0.0,18.88,low
01KQA1AFDC1306A000B0C7D9,Aegis / Vanta Health Systems - Backup Strategy Workshop,external,Compliance & Audit Readiness,0.2,0.0,0.0,0.0,1.0,0.0,16.0,low
01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,external,Compliance & Audit Readiness,0.1396,0.0,0.0,0.0,1.0,0.0,14.19,low
01KQAFB8DBF6E1E2FDEF0B75,Aegis / Maplewood Goods - SOC 2 Prep Review,external,Compliance & Audit Readiness,0.1081,0.0,0.0,0.0,1.0,0.0,13.24,low
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,external,Compliance & Audit Readiness,0.4024,0.0,0.0,0.0,0.0,0.0,12.07,low
01KQ85D10E82A26A8F754FB8,Aegis / Bridgeport Health - Compliance Review,external,Compliance & Audit Readiness,0.2317,0.0,0.0,0.0,0.5,0.0,11.95,low
01KQ9BB82FD97C9607D57E90,Aegis / Coastal Living Co - Onboarding Kickoff,external,Compliance & Audit Readiness,0.225,0.0,0.0,0.0,0.5,0.0,11.75,low
01KQAC572C34475A8791F2C3,Protect Team - Quarterly Planning,ambiguous,Support Troubleshooting & Case Resolution,0.2028,0.0,0.0,0.0,0.5,0.0,11.08,low
01KQB3B16F255B65F39597D0,Comply v2 - Design Review,internal,Compliance & Audit Readiness,0.2,0.0,0.0,0.0,0.5,0.0,11.0,low
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,external,Compliance & Audit Readiness,0.1631,0.0,0.0,0.0,0.5,0.0,9.89,low
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,external,Compliance & Audit Readiness,0.1538,0.0,0.0,0.0,0.5,0.0,9.62,low
01KQ68FB3E9E60C4477CDAB4,Comply v2 - GA Deployment Plan,internal,Compliance & Audit Readiness,0.1538,0.0,0.0,0.0,0.5,0.0,9.62,low
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,external,Compliance & Audit Readiness,0.141,0.0,0.0,0.0,0.5,0.0,9.23,low
01KQ54917E3931712516916D,Aegis / Nimbus Platform - Comply v2 Preview,external,Compliance & Audit Readiness,0.1326,0.0,0.0,0.0,0.5,0.0,8.98,low
01KQ56786DD1E8A1BF174FDD,Support Case #1993 - Forge Industries Comply v2 Early Access Question,support,Support Troubleshooting & Case Resolution,0.1047,0.0,0.0,0.0,0.5,0.0,8.14,low
01KQ9BCA1794C9472726FFAD,Comply v2 - Adoption Metrics Review,internal,Compliance & Audit Readiness,0.1463,0.0,0.0,0.0,0.0,0.0,4.39,low
01KQ92EA85FE4C537400227D,Support Case #8811 - Blackridge Investments Custom Compliance Template,support,Support Troubleshooting & Case Resolution,0.1389,0.0,0.0,0.0,0.0,0.0,4.17,low
01KQ4D01DCB15C69672AB5AF,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,external,Compliance & Audit Readiness,0.1023,0.0,0.0,0.0,0.0,0.0,3.07,low
