meeting_id,title,call_type,call_type_confidence,cluster_id,cluster_assisted_name,final_topic,summary_topics,overall_sentiment,sentiment_score
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,external,0.99,5,Product Roadmap & Engineering Execution,Incident Response & Outage Management,outage;churn risk;infrastructure reliability;compliance;vendor review;incident communication,mixed-negative,2.4
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,ambiguous,0.6,7,Incident Response & Outage Management,Incident Response & Outage Management,product outage;churn risk;sla compliance;incident communication;internal monitoring failure;customer escalation,negative,1.8
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,support,0.99,6,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,feature request;granular restore;backup and recovery;rto compliance;aws ebs;workaround,mixed-positive,3.4
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,ambiguous,0.6,8,Incident Response & Outage Management,Incident Response & Outage Management,platform outage;competitive displacement;customer retention;post-mortem;product launch;compliance,mixed-negative,2.3
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,external,0.99,8,Incident Response & Outage Management,Compliance & Audit Readiness,compliance automation;soc 2;iso 27001;audit preparation;product demo;platform integration,very-positive,4.7
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,external,0.918,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,service outage;threat monitoring failure;sla breach;churn risk;incident escalation;proactive communication failure,very-negative,1.6
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,internal,0.99,1,"Identity, Access & Provisioning","Identity, Access & Provisioning",roadmap planning;identity & access management;scim / provisioning;adaptive mfa;compliance integration;competitive landscape,positive,4.4
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,support,0.99,0,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,product outage;alert latency;sla breach;incident communication;ot security;service credits,mixed-negative,2.4
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,outage;compliance;churn risk;sla review;incident response;renewal,mixed-negative,2.1
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,ambiguous,0.6,8,Incident Response & Outage Management,Incident Response & Outage Management,outage;pipeline failure;customer escalation;incident response;data loss;technical debt,negative,1.8
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,support,0.99,4,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,product bug;compliance reporting;pdf rendering;new release issue;audit deadline;workaround,mixed-positive,3.4
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,hipaa compliance;compliance reporting;proof of concept;logvault integration;multi-framework support;audit automation,very-positive,4.7
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,support,0.99,3,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,aws s3 connector;backup failure;403 error;iam permissions;service control policies;connector configuration,mixed-positive,3.9
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,internal,0.927,7,Incident Response & Outage Management,Incident Response & Outage Management,outage post-mortem;infrastructure reliability;customer communication;product visibility;roadmap prioritization;renewal risk,mixed-negative,2.8
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,renewal;compliance;outage follow-up;product upsell;pricing;pci dss,positive,4.5
01KQ3F90FF9EBC3DB3632514,Identity Team - Sprint Retro,internal,0.99,5,Product Roadmap & Engineering Execution,"Identity, Access & Provisioning",sprint retrospective;identity management;sprint planning;estimation;scim provisioning;comply integration,mixed-positive,3.4
01KQ410FB7E434BA3F99EE7D,Aegis / Axiom Labs - Multi-Year Renewal,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,renewal;contract negotiation;api rate limits;compliance reporting;platform outage;competitive displacement,mixed-positive,4.2
01KQ41FB5CCFD9EA583FB020,Aegis / Harborview Banking - Threat Detection Tuning,external,0.99,3,Support Troubleshooting & Case Resolution,Security Monitoring & Threat Detection,alert tuning;false positives;compliance;alert routing;data retention;financial services,mixed-positive,3.9
01KQ445B1B5B890316C9E300,Weekly Engineering Standup,internal,0.903,5,Product Roadmap & Engineering Execution,Support Troubleshooting & Case Resolution,post-mortem follow-up;compliance bug;circuit breaker;load testing;incident response;runbook,mixed-positive,3.5
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,ambiguous,0.6,8,Incident Response & Outage Management,Incident Response & Outage Management,win-loss analysis;competitive intelligence;reliability / outage impact;sales process;collateral gaps;q1 review,mixed-negative,2.4
01KQ45C0AD36B351A3571940,Aegis / Silverline Brands - Comply v2 Early Access Demo,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,compliance;pci dss;product demo;audit readiness;feature request;product integration,very-positive,4.8
01KQ45C76AF3AEA6B3EA6697,Aegis / Steelpoint Manufacturing - Contract Review,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,renewal;outage;sla;compliance;cmmc;competitive threat,mixed-negative,2.8
01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,churn risk;outage post-mortem;competitor evaluation;alert fatigue;contract renewal;compliance,mixed-negative,2.6
01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,ambiguous,0.6,7,Incident Response & Outage Management,Incident Response & Outage Management,service outage;incident response;customer communication;architecture gap;churn risk;sla compliance,negative,1.8
01KQ4D01DCB15C69672AB5AF,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,external,0.99,4,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,onboarding;compliance;hipaa;soc 2;deployment;multi-framework support,very-positive,4.8
01KQ4D504CE09A8F6ECA1F5A,Product Sync - Identity Roadmap,internal,0.99,2,"Identity, Access & Provisioning","Identity, Access & Provisioning",identity roadmap;mfa policy engine;sso connectors;qa process;sprint planning;infrastructure bottleneck,mixed-positive,3.8
01KQ4D71CDFB1045A2458216,Aegis / Bridgeport Health - Renewal Finalization,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,renewal;compliance;incident review;product update;expansion;healthcare security,mixed-positive,4.1
01KQ4EE836687F95080D92AB,Detect Team - Sprint Planning,internal,0.975,5,Product Roadmap & Engineering Execution,Product Roadmap & Engineering Execution,sprint planning;pipeline architecture;single point of failure;ci/cd improvement;capacity planning;sprint retrospective,mixed-positive,3.6
01KQ51DC4345D9DAE005678C,Aegis / Redwood Clinical - Product Feedback Session,external,0.99,7,Incident Response & Outage Management,Compliance & Audit Readiness,hipaa reporting;compliance tooling;feature gaps;product feedback;audit workflow;roadmap,mixed-positive,3.2
01KQ54917E3931712516916D,Aegis / Nimbus Platform - Comply v2 Preview,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,compliance reporting;product demo;onboarding;pci dss;multi-framework support;upgrade rollout,very-positive,4.8
01KQ560FF1570C5E7F71D752,Aegis / Coastal Living Co - Protect Module Expansion,external,0.99,3,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,onboarding;backup and recovery;hybrid environment;data protection;compliance;retail seasonality,very-positive,4.8
01KQ56786DD1E8A1BF174FDD,Support Case #1993 - Forge Industries Comply v2 Early Access Question,support,0.99,7,Incident Response & Outage Management,Support Troubleshooting & Case Resolution,compliance reporting;product release;multi-framework support;feature request;upgrade migration;hipaa,very-positive,4.8
01KQ56AA6B60801ABC01AB1C,Support Case #8179 - Clearwater Medical Overage Charges Dispute,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,billing dispute;overage charges;product migration;outage impact;compliance reporting;alert misconfiguration,mixed-negative,2.4
01KQ56D878454E5783DC6D94,Support Case #3536 - Stratos Cloud LogVault Integration Timeout,support,0.99,0,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,technical issue;logvault integration;data backfill;circuit breaker;churn risk;incident follow-up,mixed-negative,2.4
01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,external,0.99,1,"Identity, Access & Provisioning","Identity, Access & Provisioning",mfa enforcement;identity & access management;churn risk;support escalation;outage follow-up;renewal,mixed-negative,2.4
01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,external,0.99,2,"Identity, Access & Provisioning",Compliance & Audit Readiness,identity deployment;privileged access management;mfa migration;compliance audit;entra id integration;compliance reporting,very-positive,4.8
01KQ5BB8521F99E55470206E,Detect Team - Sprint Planning,internal,0.975,5,Product Roadmap & Engineering Execution,Support Troubleshooting & Case Resolution,sprint planning;bug fix;architecture;ingestion pipeline;alert deduplication;qa,positive,4.1
01KQ5D47170D4828E89EDE37,Support Case #7537 - Forge Industries Detect Recovery Confirmation,support,0.99,8,Incident Response & Outage Management,Support Troubleshooting & Case Resolution,outage recovery;incident root cause;threat monitoring;data integrity;post-incident report;architectural remediation,mixed-positive,3.4
01KQ5EC1665DCFD7A6B62A59,Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,support,0.99,3,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,saml certificate rotation;product bug;authentication failure;service outage;customer reliability concerns;identity federation,mixed-negative,2.2
01KQ5F364545B542671FF9CE,Support Case #3546 - Meridian Capital SCIM Provisioning Request,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,scim provisioning;identity management;compliance;okta integration;deprovisioning;feature request,mixed-positive,3.7
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,external,0.99,1,"Identity, Access & Provisioning",Compliance & Audit Readiness,role management;feature gap;soc 2 compliance;session timeout policy;product roadmap;identity access management,mixed-positive,3.7
01KQ68FB3E9E60C4477CDAB4,Comply v2 - GA Deployment Plan,internal,0.99,5,Product Roadmap & Engineering Execution,Compliance & Audit Readiness,product launch;compliance reporting;infrastructure deployment;qa and testing;observability and alerting;rollback planning,very-positive,4.7
01KQ6A5CEAAFFBE3B0099E75,Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,ldap sync failure;ssl certificate;support response time;active directory;product feedback;churn risk,mixed-negative,2.4
01KQ6CAA850EAFDC48B52846,Aegis / Ironworks Corp - Vendor Comparison Discussion,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,outage;compliance reporting;competitive threat;ot security;trust recovery;sla negotiation,mixed-negative,2.6
01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,internal,0.813,5,Product Roadmap & Engineering Execution,"Identity, Access & Provisioning",post-incident review;service outage;compliance risk;customer retention;internal communications;product early access,mixed-negative,2.8
01KQ773D68723289E4A98889,Support Case #7572 - Brightpath Commerce Invoice Discrepancy,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,billing dispute;invoice overage;data retention;backup policy;account management;usage monitoring,mixed-positive,3.7
01KQ77F2867FC54E13A8C495,Aegis / Brightpath Commerce - Detect Module Deployment,external,0.99,8,Incident Response & Outage Management,Product Roadmap & Engineering Execution,onboarding;deployment planning;alert fatigue;reliability incident;cloud infrastructure;integrations,mixed-positive,3.9
01KQ7B802912366FC0A24D4F,All Hands - April Update,internal,0.975,7,Incident Response & Outage Management,Support Troubleshooting & Case Resolution,outage post-mortem;product launch;compliance reporting;reliability engineering;roadmap planning;product bug,mixed-positive,3.6
01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,support,0.99,0,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,platform outage;detect pipeline failure;pci compliance;churn risk;incident communication;fraud monitoring,very-negative,1.4
01KQ7F58A2E07B857C24624D,Competitive Landscape Review,internal,0.99,8,Incident Response & Outage Management,"Renewal, Pricing & Commercial Negotiation",competitive analysis;product gaps;siem integration;compliance features;pricing pressure;roadmap prioritization,mixed-positive,3.4
01KQ7FA71CF70FAFEE4B6251,Aegis / Nova Retail Group - Renewal Discussion,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,renewal;service outage;compliance reporting;churn risk;competitive evaluation;product feedback,mixed-negative,2.6
01KQ85D10E82A26A8F754FB8,Aegis / Bridgeport Health - Compliance Review,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,hipaa audit prep;multi-framework compliance;evidence management;product roadmap;healthcare;reporting,mixed-positive,4.1
01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,external,0.918,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,platform outage;hipaa compliance;soc 2 audit;churn risk;incident communication failure;infrastructure architecture,mixed-negative,2.1
01KQ8C5A044F54EE1774D53C,Aegis / Helix Data - Post-Incident Review,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,outage post-mortem;churn risk;false positives;pipeline reliability;competitor evaluation;detection tuning,mixed-negative,2.3
01KQ8D9A06510DD623EFB1A6,Aegis / Pinnacle Insurance - Detect Roadmap Review,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,feature requests;alert fatigue;incident review;compliance reporting;product roadmap;siem integration,mixed-positive,3.6
01KQ92EA85FE4C537400227D,Support Case #8811 - Blackridge Investments Custom Compliance Template,support,0.99,7,Incident Response & Outage Management,Support Troubleshooting & Case Resolution,feature request;custom compliance templates;early access program;api integration;workaround;financial services,very-positive,4.8
01KQ94C2B8B9B4668F3D3491,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,platform outage;event ingestion pipeline;ot/scada monitoring;data backfill;sla credits;compliance,mixed-negative,2.1
01KQ9772B2348F500FB09D1E,Support Case #3677 - Coastal Living Co MFA Token Failures,support,0.99,3,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,mfa failure;totp;okta sso integration;p1 escalation;user lockout;reliability concern,mixed-negative,2.2
01KQ9A6BE09D73A9BB5798C7,Support Case #3615 - Nimbus Platform Custom Report Request,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,feature gap;custom reporting;compliance frameworks;product roadmap;audit workflow;early access program,mixed-positive,3.5
01KQ9BB82FD97C9607D57E90,Aegis / Coastal Living Co - Onboarding Kickoff,external,0.99,3,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,onboarding;backup and recovery;hybrid infrastructure;pci dss compliance;data retention;aws integration,very-positive,4.9
01KQ9BCA1794C9472726FFAD,Comply v2 - Adoption Metrics Review,internal,0.99,7,Incident Response & Outage Management,Compliance & Audit Readiness,product launch;compliance reporting;adoption metrics;cross-sell;gdpr roadmap;customer feedback,very-positive,4.7
01KQA0F0BE68E74D66EB4171,Competitive Response Strategy,ambiguous,0.6,8,Incident Response & Outage Management,Platform Reliability & Performance,competitive positioning;platform reliability;product launch;compliance;sales strategy;incident remediation,mixed-positive,3.6
01KQA1AFDC1306A000B0C7D9,Aegis / Vanta Health Systems - Backup Strategy Workshop,external,0.99,3,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,hybrid backup strategy;hipaa compliance;disaster recovery testing;data retention policies;onboarding;healthcare data management,very-positive,4.7
01KQA502E222E2A60330237B,Aegis / Pineridge Systems - Q1 Business Review,external,0.99,0,Support Troubleshooting & Case Resolution,"Renewal, Pricing & Commercial Negotiation",quarterly business review;renewal;compliance;disaster recovery;product update;pricing,very-positive,4.7
01KQA7DFCE1285F52192B34B,Support Case #9856 - Silverline Brands Backup Window Exceeded,support,0.99,6,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,backup performance;throughput degradation;platform incident;sql server;agent update;support response time,mixed-negative,2.4
01KQAC572C34475A8791F2C3,Protect Team - Quarterly Planning,ambiguous,0.6,6,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,quarterly planning;incremental backup performance;restore ux improvement;multi-region replication;canary deployment;tech debt,positive,4.4
01KQADC32D89E2B76B698E84,Support Case #6635 - Nova Retail Group SSO Login Failures,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,sso outage;identity module regression;saml configuration;incident communication;workaround;patch deployment,mixed-negative,2.3
01KQADF3D76E82BF8BA19AF2,All Hands - February Wrap,internal,0.99,7,Incident Response & Outage Management,"Renewal, Pricing & Commercial Negotiation",product launch;qa coverage;customer churn;upsell opportunity;technical issue;roadmap planning,mixed-positive,3.5
01KQAEA50436D047BC39CFC7,Aegis / Crestline Wealth - Account Review,external,0.99,0,Support Troubleshooting & Case Resolution,"Renewal, Pricing & Commercial Negotiation",renewal;pricing;compliance roadmap;data backup;threat detection;support issue,mixed-positive,3.8
01KQAFB8DBF6E1E2FDEF0B75,Aegis / Maplewood Goods - SOC 2 Prep Review,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,soc 2 compliance;audit preparation;evidence collection;multi-framework compliance;onboarding;pci dss,very-positive,4.8
01KQB3B16F255B65F39597D0,Comply v2 - Design Review,internal,0.99,6,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,design review;compliance reporting;multi-framework support;pdf export;performance testing;roadmap planning,positive,4.4
01KQB632F1ADC378C42F2C03,Support Case #7570 - Silverline Brands Comply v2 License Upgrade,support,0.99,7,Incident Response & Outage Management,Support Troubleshooting & Case Resolution,billing discrepancy;proration error;license upgrade;compliance reporting;credit request;product features,mixed-positive,3.9
01KQB95605C6F873C6036285,Aegis / Forge Industries - PCI DSS Compliance Review,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,pci dss compliance;audit preparation;multi-framework reporting;product demo;detect outage follow-up;soc 2,mixed-positive,4.1
01KQBB7C4D4789DB2F3DA9C2,Support Case #1750 - Vanta Health Systems SIEM Connector Issue,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,siem integration;technical issue;compliance;support response time;product bug;documentation gap,mixed-negative,2.4
01KQBBF753B44DE677670E6D,Support Case #6147 - Summit Trust Detect Alert Delays,support,0.99,1,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,alert latency;incident communication failure;platform outage;regulatory compliance;infrastructure rebalancing;product gap,mixed-negative,2.4
01KQC1267BEB344076DD7656,Aegis / Ironclad Financial - Account Recovery Check-in,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,outage post-mortem;renewal;platform reliability;compliance;competitive evaluation;configuration review,mixed-negative,2.8
01KQC166F678CBA584AAFF8B,Support Case #7615 - Crestline Wealth Group Policy Sync Delay,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,provisioning sync delay;identity policy propagation;shared cluster performance;support response time;renewal risk;compliance requirements,mixed-negative,2.4
01KQC3A2EBC501837E973B16,Aegis / Frostbyte AI - Identity Module Setup,external,0.99,1,"Identity, Access & Provisioning","Identity, Access & Provisioning",onboarding;sso configuration;mfa policy;identity access management;contractor access controls;okta migration,very-positive,4.8
01KQCA6EA8B603EBB6C9FE34,Aegis / Ridgeline Logistics - Identity Roadmap Discussion,external,0.99,1,"Identity, Access & Provisioning","Identity, Access & Provisioning",shared workstation session management;mfa policy exceptions;sso integration;rbac enhancements;renewal;feature request,mixed-positive,3.4
01KQCF9872BF130D33B1B5EC,Comply v2 - Launch Day Checklist,internal,0.861,4,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,launch readiness;qa sign-off;compliance reporting;safari bug;hipaa validation;incident communications,very-positive,4.8
01KQD1270E98A7DFC55ADCF8,Protect Performance - Scalability Concerns,ambiguous,0.6,6,Support Troubleshooting & Case Resolution,Platform Reliability & Performance,performance degradation;architecture scalability;technical debt;incident risk;sales alignment;backup infrastructure,mixed-negative,2.2
01KQD199788883B6F18C81E8,Aegis / Atlas Precision - Annual Review & Renewal,external,0.99,0,Support Troubleshooting & Case Resolution,"Identity, Access & Provisioning",renewal;compliance;incident review;product roadmap;identity management;ot security,positive,4.3
01KQD4D9DEBA2D55AC2AA9F5,Aegis / Keystone Health - Renewal Planning,external,0.99,0,Support Troubleshooting & Case Resolution,"Renewal, Pricing & Commercial Negotiation",renewal;compliance;product launch;upsell;technical incident;healthcare,positive,4.4
01KQDD5172176D02DB51360A,Support Case #3286 - Vanta Health Systems API Integration Error,support,0.99,3,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,api outage;backup failure;hipaa compliance;healthcare data;incident communication;escalation,mixed-negative,2.4
01KQE110900B8A65D80AE694,Detect Outage - Root Cause Analysis,internal,0.975,5,Product Roadmap & Engineering Execution,Incident Response & Outage Management,incident review;pipeline failure;infrastructure reliability;health checks;chaos engineering;post-mortem,mixed-negative,2.4
01KQEDB92E33CF9945A7F71B,URGENT: Cobalt Software - Aegis Detect Dashboard Down,external,0.846,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,outage;platform reliability;threat monitoring;churn risk;incident response;service credit,negative,1.8
01KQEDE682B4A8D67C657CF1,Support Case #3103 - Silverline Brands Detect False Positives After Patch,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,false positives;patch management;behavioral detection;customer retention risk;incident communication;baseline configuration,mixed-negative,2.4
01KQF9600A904ADE8605B3F0,Detect Team - Reliability Sprint Retro,internal,0.903,5,Product Roadmap & Engineering Execution,Incident Response & Outage Management,sprint retrospective;reliability engineering;circuit breaker implementation;monitoring gaps;incident response;knowledge sharing,very-positive,4.8
01KQFEEFFF8E80B0DFD10880,SOC 2 Type II - Final Review,ambiguous,0.6,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,soc 2 type ii audit;compliance;incident response;audit evidence packaging;product dogfooding;customer renewals,very-positive,4.7
01KQFFC0F889AE8CFEE7A00D,Aegis / Blackridge Investments - Renewal Discussion,external,0.99,0,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,renewal;compliance reporting;incident post-mortem;product expansion;identity management;early access,very-positive,4.7
